,Kód obce,Název obce,Název MOMC,Název části obce,Název ulice,Souřadnice Y,Souřadnice X,latitude,longitude
173,554782,Praha,Praha 1,Nové Město,Spálená,743036.8,1043757.7220000001,50.080552329592734,14.419528190345979
174,554782,Praha,Praha 1,Nové Město,Stárkova,741695.434,1042596.3859999999,50.09253983099138,14.435886954244134
175,554782,Praha,Praha 1,Nové Město,Truhlářská,742147.3043333333,1042805.1666666666,50.09012690224778,14.430027936592607
176,554782,Praha,Praha 1,Nové Město,Těšnov,741676.9166666666,1042698.0033333333,50.09165734450765,14.436336668190567
177,554782,Praha,Praha 1,Nové Město,U Bulhara,741743.7475,1043304.225,50.08617565639685,14.436564635606345
178,554782,Praha,Praha 1,Nové Město,U nemocenské pojišťovny,742055.1074999999,1042558.0275,50.092441165101306,14.430833998117075
179,554782,Praha,Praha 1,Nové Město,U půjčovny,742168.034,1043477.175,50.08411569372469,14.431020017285363
180,554782,Praha,Praha 1,Nové Město,V celnici,742121.33,1043015.338888889,50.08828663204038,14.43078759744859
181,554782,Praha,Praha 1,Nové Město,V cípu,742462.9033333333,1043466.5666666668,50.08384902846259,14.426917883496388
182,554782,Praha,Praha 1,Nové Město,V jirchářích,743250.8228571428,1043778.535,50.08010453033011,14.416605365587348
183,554782,Praha,Praha 1,Nové Město,V jámě,742661.8890909092,1043859.9218181819,50.08010150549889,14.424912357819258
184,554782,Praha,Praha 1,Nové Město,Ve Smečkách,742533.3126470587,1044030.1991176471,50.07874232107498,14.4270162804713
185,554782,Praha,Praha 1,Nové Město,Vladislavova,742927.6687500001,1043788.2933333333,50.080413801365175,14.421097022157445
186,554782,Praha,Praha 1,Nové Město,Vodičkova,742741.4444444445,1043821.6347222222,50.080345055358634,14.423738243742108
187,554782,Praha,Praha 1,Nové Město,Vojtěšská,743381.8205,1043938.308,50.07852075853451,14.415096644002526
188,554782,Praha,Praha 1,Nové Město,Voršilská,743227.238,1043709.3150000001,50.08075000468604,14.416799916017087
189,554782,Praha,Praha 1,Nové Město,Václavské náměstí,742499.87625,1043683.65828125,50.08187003177532,14.426819384538712
190,554782,Praha,Praha 1,Nové Město,Washingtonova,742189.916923077,1043809.5184615385,50.08112858670833,14.431349560448465
191,554782,Praha,Praha 1,Nové Město,Zlatnická,741994.2013333333,1042794.8313333334,50.09040644524537,14.432127987729304
192,554782,Praha,Praha 1,Nové Město,none,741851.32,1042724.99,50.09120348163525,14.433973310474075
193,554782,Praha,Praha 1,Nové Město,nábřeží Ludvíka Svobody,741727.9,1042489.19,50.093454933398206,14.435233474673822
194,554782,Praha,Praha 1,Nové Město,náměstí Republiky,742247.9966666667,1042987.875,50.08837613467102,14.42898168389348
195,554782,Praha,Praha 1,Nové Město,Čelakovského sady,742347.9,1044186.2999999999,50.077578982632524,14.429879794975617
196,554782,Praha,Praha 1,Nové Město,Černá,743149.5472222222,1043921.8277777777,50.07895237985018,14.41828022721957
197,554782,Praha,Praha 1,Nové Město,Řeznická,742813.4427272727,1044067.8322727272,50.07806387767826,14.423210508725642
198,554782,Praha,Praha 1,Nové Město,Školská,742735.4972413793,1044000.0575862069,50.07876308225113,14.424160328615583
199,554782,Praha,Praha 1,Nové Město,Štěpánská,742628.7247619047,1043971.9052380953,50.079144671036474,14.425584633935296
200,554782,Praha,Praha 1,Nové Město,Šítkova,743416.4775,1043917.635,50.078662389097325,14.414577544668402
201,554782,Praha,Praha 1,Nové Město,Žitná,742641.9648148149,1044166.3788888889,50.077396213860695,14.425771629594957
202,554782,Praha,Praha 1,Staré Město,17. listopadu,743106.0925,1042626.6875,50.09054167750447,14.416413638878527
203,554782,Praha,Praha 1,Staré Město,28. října,742778.19125,1043442.40875,50.08367788382529,14.42250733389106
204,554782,Praha,Praha 1,Staré Město,Alšovo nábřeží,743280.755,1042833.6766666668,50.08848379248445,14.414390100606793
205,554782,Praha,Praha 1,Staré Město,Anenská,743269.1677777778,1043179.4199999999,50.08541843070197,14.415209583907023
206,554782,Praha,Praha 1,Staré Město,Anenské náměstí,743309.138,1043215.2779999999,50.08505001709153,14.414724617896571
207,554782,Praha,Praha 1,Staré Město,Anežská,742544.4318181818,1042554.5272727273,50.09187292898354,14.424052378466769
208,554782,Praha,Praha 1,Staré Město,Bartolomějská,743191.98,1043494.4793333333,50.08270681362001,14.416878561278663
209,554782,Praha,Praha 1,Staré Město,Benediktská,742366.7753333333,1042787.08,50.09001918510731,14.42695493575398
210,554782,Praha,Praha 1,Staré Město,Betlémská,743282.7378571428,1043369.3278571429,50.083710255645684,14.415383709273408
211,554782,Praha,Praha 1,Staré Město,Betlémské náměstí,743135.8063636364,1043341.5563636365,50.08413780284883,14.417364736882798
212,554782,Praha,Praha 1,Staré Město,Boršov,743318.0054545455,1043327.3990909092,50.084040466030146,14.414815586338351
213,554782,Praha,Praha 1,Staré Město,Bílkova,742769.1113333333,1042605.15,50.09114666141621,14.421038077045507
214,554782,Praha,Praha 1,Staré Město,Břehová,743099.485,1042564.855,50.0911005302079,14.416387259570177
215,554782,Praha,Praha 1,Staré Město,Celetná,742586.9318918919,1043073.1097297298,50.08720170360878,14.424451671365007
216,554782,Praha,Praha 1,Staré Město,Divadelní,743406.2000000001,1043489.360909091,50.08248968010677,14.413903470071677
217,554782,Praha,Praha 1,Staré Město,Dlouhá,742540.0152083333,1042765.7647916666,50.08999679445074,14.424515860740286
218,554782,Praha,Praha 1,Staré Město,Dušní,742792.779375,1042713.035625,50.090156691204086,14.42091594388886
